PHORCYS_dark_umol_O2_L_d,PHORCYS_dark_uncert_umol_O2_L_d,Winkler_dark_umol_O2_L_d,Winkler_dark_uncert_umol_O2_L_d,Shipboard_incu_dark_umol_O2_L_d,Shipboard_incu_dark_uncert_umol_O2_L_d
1.82,0.18,0.57,0.1,3.46,1.01
4.16,0.28,1.18,0.04,1.11,0.34
2.44,0.32,3.47,0.16,2.51,1.18
7.82,0.43,,,4.03,0.46
6.02,0.52,7.4,0.23,7.9,0.8
18.93377884,1.869687063,5.917824372,0.995748492,,
2.151801501,1.601750144,-0.746915687,2.358254025,,
8.011115374,1.894273208,4.310862523,0.847803778,,
,,,,,
10.51897481,7.514863407,5.392433039,1.328214094,,
