Determination start,Oxygen(mL/L),Cruise,CTD#,Oxy bottle,Bottle case,bottle volume,blank,Avg Thio Volume,Avg normality of thio,,depth,
 ,,,,,,,,,,,,
2012-04-21 22:45:44 UTC-4,6.391,KN207-1,4,,R,151.1,0,4.315,0.01035,,20,
2012-04-21 22:49:51 UTC-4,6.561,KN207-1,4,DEEP,R,151.1,0,4.315,0.01035,,20,
2012-04-21 22:54:45 UTC-4,6.572,KN207-1,4,R2,R,151.1,0,4.315,0.01035,,15,
2012-04-21 22:57:51 UTC-4,7.074,KN207-1,4,R2,R,151.1,0,4.315,0.01035,,15,
2012-04-21 23:01:58 UTC-4,6.213,KN207-1,4,R2-RE-TRY,R,151.1,0,4.315,0.01035,,15,
2012-04-21 23:05:27 UTC-4,6.577,KN207-1,4,R3,R,151.1,0,4.315,0.01035,,10,
2012-04-21 23:08:00 UTC-4,6.567,KN207-1,4,R3,R,151.1,0,4.315,0.01035,,10,
2012-04-21 23:10:57 UTC-4,6.577,KN207-1,4,R4,R,151.1,0,4.315,0.01035,,7,
2012-04-21 23:13:52 UTC-4,6.573,KN207-1,4,R4,R,151.1,0,4.315,0.01035,,7,
2012-04-21 23:16:49 UTC-4,6.568,KN207-1,4,R5,R,151.1,0,4.315,0.01035,,5,
2012-04-21 23:20:07 UTC-4,6.557,KN207-1,4,R5,R,151.1,0,4.315,0.01035,,5,
2012-04-21 23:25:09 UTC-4,6.554,KN207-1,4,R6,R,151.1,0,4.315,0.01035,,2,
2012-04-21 23:27:30 UTC-4,6.557,KN207-1,4,R6,R,151.1,0,4.315,0.01035,,2,
2012-04-22 06:49:24 UTC-4,2.176,KN207-1,6,,R,151.1,0,0.01035,4.31326,,,
2012-04-22 06:49:24 UTC-4,2.176,KN207-1,6,,R,151.1,0,0.01035,4.31326,,,
2012-04-22 06:51:57 UTC-4,917.368,KN207-1,6,R8,R,151.1,0,0.01035,4.31326,,55.1,
2012-04-22 06:51:57 UTC-4,917.368,KN207-1,6,R8,R,151.1,0,0.01035,4.31326,,55.1,
2012-04-22 06:54:32 UTC-4,1045.28,KN207-1,6,R9,R,151.1,0,0.01035,4.31326,,41.2,
2012-04-22 06:56:48 UTC-4,988.151,KN207-1,6,R9,R,151.1,0,0.01035,4.31326,,41.2,
2012-04-22 07:03:01 UTC-4,955.204,KN207-1,6,R10,R,151.1,0,4.3086,0.01036,,31.3,
2012-04-22 07:05:09 UTC-4,2.281,KN207-1,6,R10,R,151.1,0,4.3086,0.01036,,31.3,
2012-04-22 07:08:08 UTC-4,2.033,KN207-1,6,R12,R,151.1,0,4.3086,0.01036,,23.4,
2012-04-22 07:10:39 UTC-4,2.034,KN207-1,6,R12,R,151.1,0,4.3086,0.01036,,23.4,
2012-04-22 07:13:38 UTC-4,2.423,KN207-1,6,R13,R,151.1,0,4.3086,0.01036,,10.3,
2012-04-22 07:16:01 UTC-4,2.425,KN207-1,6,R13,R,151.1,0,4.3086,0.01036,,10.3,
2012-04-22 07:20:41 UTC-4,2.349,KN207-1,6,R14,R,151.1,0,4.3086,0.01036,,5.6,
2012-04-22 07:22:58 UTC-4,2.348,KN207-1,6,R14,R,151.1,0,4.3086,0.01036,,5.6,
2012-04-22 12:39:27 UTC-4,2.654,KN207-1,8,R15,R,151.1,0,4.3086,0.01036,,200,
2012-04-22 12:42:24 UTC-4,2.645,KN207-1,8,R15,R,151.1,0,4.3086,0.01036,,200,
2012-04-22 12:47:15 UTC-4,5.633,KN207-1,8,R16,R,151.1,0,4.3086,0.01036,,62,
2012-04-22 12:49:41 UTC-4,5.627,KN207-1,8,R16,R,151.1,0,4.3086,0.01036,,62,
2012-04-22 12:53:31 UTC-4,6.315,KN207-1,8,R17,R,151.1,0,4.3086,0.01036,,29,
2012-04-22 12:57:00 UTC-4,6.302,KN207-1,8,R17,R,151.1,0,4.3086,0.01036,,29,
2012-04-22 13:03:48 UTC-4,6.494,KN207-1,8,R18,R,151.1,0,4.3086,0.01036,,21,
2012-04-22 13:06:30 UTC-4,6.499,KN207-1,8,R18,R,151.1,0,4.3086,0.01036,,21,
2012-04-22 13:08:53 UTC-4,6.522,KN207-1,8,R19,R,151.1,0,4.3086,0.01036,,11,
2012-04-22 13:12:30 UTC-4,6.51,KN207-1,8,R19,R,151.1,0,4.3086,0.01036,,11,
2012-04-22 13:14:49 UTC-4,6.332,KN207-1,8,R20,R,151.1,0,4.3086,0.01036,,6,
2012-04-22 13:17:04 UTC-4,6.317,KN207-1,8,R20,R,151.1,0,4.3086,0.01036,,6,
2012-04-22 20:47:49 UTC-4,4.502,KN207-1,9,R11,R,151.1,0,4.3086,0.01036,,150,
2012-04-22 20:51:11 UTC-4,4.477,KN207-1,9,R11,R,151.1,0,4.3086,0.01036,,150,
2012-04-22 20:57:29 UTC-4,5.985,KN207-1,9,R23,R,151.1,0,4.3086,0.01036,,40,
2012-04-22 21:00:11 UTC-4,5.968,KN207-1,9,R23,R,151.1,0,4.3086,0.01036,,40,
