R/V Knorr Calliope CSV data file  (Time stamps are GMT)
Date, Time_GMT, AT, WXTP_Ta, WXTS_Ta, BPR, WXTP_Pa, WXTS_Pa, Dec_Lat, Dec_Lon, Depth12, Depth35, FLR, SPD, COG, SOG, LWR, WXTS_Ri, WXTP_Rc, WXTS_Rc, WXTP_Ri, WXTS_Dm, WXTS_Sm, WXTP_Dm, WXTP_Sm, HRH, WXTP_Ua, WXTS_Ua, SBE45C, SBE45S, SBE45T, Salinity, SSCND, SSTMP, SBE48T, HDT, SWR, SSV, WXTP_TD, WXTS_TD, Wnd_TD, Wnd_TS, WXTP_TS, WXTS_TS, HdChkSum=62
2012/04/20, 00:00:59, 10.50, 10.4, 10.5, 1017.70, 1017.4, 1017.7, 41.523952, -70.672267, , , 70.10, 0.03, 0.0, 0.0, 273.00, 0.00, 12.32, 11.70, 0.0, 161, 4.9, 158, 3.2, 73.700, 73.7, 73.8, 41.7368, 31.3154, 18.2029, 31.3188, 41.7368, 10.8935, 10.8935, 24.1, 10.6, 1488.5487, 182.9, 185.5, 181.1, 3.3127, 3.2, 4.9, 62
2012/04/20, 00:01:59, 10.40, 10.4, 10.4, 1017.70, 1017.4, 1017.7, 41.523952, -70.672266, , , 70.40, 0.04, 56.3, 0.0, 272.30, 0.00, 12.32, 11.70, 0.0, 139, 1.9, 160, 2.4, 73.800, 73.8, 73.6, 41.7465, 31.3154, 18.2137, 31.3186, 41.7465, 10.8936, 10.8936, 24.1, 10.3, 1488.5502, 185.1, 163.8, 183.0, 3.6218, 2.4, 1.9, 62
2012/04/20, 00:02:59, 10.40, 10.4, 10.4, 1017.70, 1017.3, 1017.7, 41.523952, -70.672266, , , 70.40, 0.02, 153.4, 0.0, 272.70, 0.00, 12.32, 11.70, 0.0, 145, 3.7, 169, 2.0, 73.000, 73.0, 72.9, 41.7565, 31.3155, 18.2244, 31.3188, 41.7565, 10.8941, 10.8941, 24.2, 10.8, 1488.5516, 194.0, 169.6, 187.6, 2.4109, 2.0, 3.7, 62
2012/04/20, 00:03:59, 10.40, 10.4, 10.4, 1017.70, 1017.3, 1017.7, 41.523952, -70.672266, , , 70.80, 0.00, 123.7, 0.0, 272.90, 0.00, 12.32, 11.70, 0.0, 156, 3.5, 158, 3.1, 73.900, 73.9, 73.7, 41.7647, 31.3144, 18.2348, 31.3178, 41.7647, 10.8949, 10.8949, 24.2, 10.8, 1488.5525, 183.0, 180.7, 179.1, 2.2740, 3.1, 3.5, 62
2012/04/20, 00:04:59, 10.40, 10.4, 10.4, 1017.60, 1017.3, 1017.6, 41.523952, -70.672266, , , 70.40, 0.03, 22.6, 0.0, 272.60, 0.00, 12.32, 11.70, 0.0, 155, 2.8, 164, 1.9, 73.600, 73.6, 73.4, 41.7736, 31.3141, 18.2450, 31.3174, 41.7736, 10.8957, 10.8957, 24.3, 10.4, 1488.5543, 189.2, 179.8, 181.3, 2.3622, 1.9, 2.8, 62
2012/04/20, 00:05:59, 10.40, 10.4, 10.4, 1017.60, 1017.3, 1017.6, 41.523953, -70.672265, , , 70.40, 0.02, 43.0, 0.0, 272.50, 0.00, 12.32, 11.70, 0.0, 155, 3.9, 156, 3.0, 73.500, 73.5, 73.5, 41.7831, 31.3141, 18.2554, 31.3174, 41.7831, 10.8961, 10.8961, 24.5, 10.7, 1488.5570, 181.5, 180.1, 186.0, 2.7423, 3.0, 3.9, 62
2012/04/20, 00:06:59, 10.40, 10.4, 10.4, 1017.60, 1017.3, 1017.6, 41.523952, -70.672266, , , 70.40, -0.01, 323.1, 0.0, 272.70, 0.00, 12.32, 11.70, 0.0, 180, 2.7, 167, 2.5, 73.600, 73.6, 73.8, 41.7931, 31.3147, 18.2656, 31.3180, 41.7931, 10.8968, 10.8968, 24.6, 10.6, 1488.5594, 192.3, 204.9, 188.8, 2.6945, 2.5, 2.7, 62
2012/04/20, 00:07:58, 10.40, 10.4, 10.4, 1017.70, 1017.3, 1017.7, 41.523952, -70.672266, , , 70.10, -0.23, 153.4, 0.0, 272.80, 0.00, 12.32, 11.70, 0.0, 177, 3.6, 168, 3.1, 73.600, 73.6, 73.7, 41.8022, 31.3145, 18.2758, 31.3179, 41.8022, 10.8963, 10.8963, 24.6, 10.8, 1488.5577, 193.5, 202.1, 183.1, 2.6577, 3.1, 3.6, 62
2012/04/20, 00:08:59, 10.40, 10.4, 10.4, 1017.70, 1017.3, 1017.7, 41.523952, -70.672266, , , 70.80, -0.67, 270.0, 0.0, 272.60, 0.00, 12.32, 11.70, 0.0, 150, 2.3, 146, 0.8, 74.100, 74.1, 74.0, 41.8111, 31.3143, 18.2858, 31.3177, 41.8111, 10.8955, 10.8955, 24.7, 10.4, 1488.5538, 171.1, 175.0, 184.0, 1.8570, 0.8, 2.3, 62
2012/04/20, 00:09:59, 10.40, 10.4, 10.4, 1017.70, 1017.3, 1017.7, 41.523952, -70.672266, , , 70.40, -0.54, 68.2, 0.0, 273.10, 0.00, 12.32, 11.70, 0.0, 156, 3.2, 149, 2.8, 74.700, 74.7, 74.7, 41.8202, 31.3141, 18.2961, 31.3174, 41.8202, 10.8941, 10.8941, 24.7, 10.6, 1488.5501, 174.6, 181.2, 178.0, 1.8621, 2.8, 3.2, 62
2012/04/20, 00:10:59, 10.40, 10.4, 10.4, 1017.70, 1017.3, 1017.7, 41.523952, -70.672266, , , 70.40, 1.21, 143.1, 0.0, 272.70, 0.00, 12.32, 11.70, 0.0, 154, 3.8, 155, 4.2, 75.400, 75.4, 75.4, 41.8293, 31.3142, 18.3059, 31.3176, 41.8293, 10.8921, 10.8921, 24.7, 10.3, 1488.5444, 180.5, 179.2, 178.0, 2.6165, 4.2, 3.8, 62
2012/04/20, 00:11:59, 10.40, 10.4, 10.4, 1017.70, 1017.4, 1017.7, 41.523952, -70.672266, , , 70.80, 0.03, 116.6, 0.0, 272.90, 0.00, 12.32, 11.70, 0.0, 158, 4.7, 161, 3.7, 75.200, 75.2, 75.1, 41.8380, 31.3134, 18.3165, 31.3167, 41.8380, 10.8895, 10.8895, 24.5, 10.6, 1488.5356, 186.3, 182.9, 176.4, 3.1406, 3.7, 4.7, 62
2012/04/20, 00:12:59, 10.40, 10.3, 10.4, 1017.70, 1017.4, 1017.7, 41.523952, -70.672265, , , 71.10, 0.03, 348.7, 0.0, 272.80, 0.00, 12.32, 11.70, 0.0, 157, 3.9, 154, 3.9, 75.000, 75.0, 74.6, 41.8473, 31.3137, 18.3263, 31.3170, 41.8473, 10.8877, 10.8877, 24.5, 10.3, 1488.5278, 179.2, 181.9, 179.2, 3.3332, 3.9, 3.9, 62
2012/04/20, 00:13:59, 10.30, 10.3, 10.3, 1017.70, 1017.4, 1017.7, 41.523952, -70.672266, , , 70.10, 0.02, 341.6, 0.0, 272.50, 0.00, 12.32, 11.70, 0.0, 161, 2.7, 143, 2.4, 75.300, 75.3, 75.1, 41.8563, 31.3137, 18.3362, 31.3170, 41.8563, 10.8856, 10.8856, 24.3, 10.8, 1488.5173, 168.0, 185.6, 183.0, 3.1313, 2.4, 2.7, 62
2012/04/20, 00:14:59, 10.30, 10.3, 10.3, 1017.70, 1017.4, 1017.7, 41.523952, -70.672267, , , 70.40, 0.01, 0.0, 0.0, 272.70, 0.00, 12.32, 11.70, 0.0, 161, 3.6, 153, 2.9, 75.400, 75.4, 75.1, 41.8650, 31.3131, 18.3464, 31.3165, 41.8650, 10.8830, 10.8830, 24.3, 10.7, 1488.5114, 178.1, 185.7, 183.2, 2.1970, 2.9, 3.6, 62
2012/04/20, 00:15:59, 10.30, 10.3, 10.3, 1017.70, 1017.3, 1017.7, 41.523953, -70.672267, , , 70.10, 0.01, 90.0, 0.0, 272.70, 0.00, 12.32, 11.70, 0.0, 168, 2.6, 162, 2.5, 74.500, 74.5, 74.5, 41.8741, 31.3134, 18.3560, 31.3168, 41.8741, 10.8808, 10.8808, 24.3, 10.4, 1488.5035, 187.3, 192.9, 185.3, 2.5847, 2.5, 2.6, 62
2012/04/20, 00:16:59, 10.30, 10.3, 10.3, 1017.70, 1017.3, 1017.7, 41.523953, -70.672267, , , 70.40, 0.03, 98.1, 0.0, 272.90, 0.00, 12.32, 11.70, 0.0, 178, 2.3, 166, 2.6, 75.100, 75.1, 75.0, 41.8832, 31.3136, 18.3658, 31.3169, 41.8832, 10.8791, 10.8791, 24.0, 10.7, 1488.4974, 190.9, 202.5, 182.1, 2.7497, 2.6, 2.3, 62
2012/04/20, 00:17:58, 10.30, 10.2, 10.3, 1017.70, 1017.3, 1017.7, 41.523952, -70.672267, , , 70.40, 0.03, 9.5, 0.0, 273.00, 0.00, 12.32, 11.70, 0.0, 165, 3.5, 161, 4.1, 75.100, 75.1, 75.2, 41.8924, 31.3137, 18.3757, 31.3171, 41.8924, 10.8777, 10.8777, 24.0, 10.7, 1488.4925, 185.8, 189.4, 190.8, 2.4501, 4.1, 3.5, 62
2012/04/20, 00:18:59, 10.30, 10.2, 10.3, 1017.70, 1017.4, 1017.7, 41.523952, -70.672266, , , 70.40, 0.01, 90.0, 0.0, 272.80, 0.00, 12.32, 11.70, 0.0, 159, 4.6, 158, 4.7, 75.500, 75.5, 75.3, 41.9006, 31.3133, 18.3852, 31.3167, 41.9006, 10.8763, 10.8763, 24.2, 10.6, 1488.4869, 183.1, 183.7, 185.7, 2.6826, 4.7, 4.6, 62
2012/04/20, 00:19:58, 10.30, 10.2, 10.3, 1017.70, 1017.3, 1017.7, 41.523952, -70.672265, , , 70.40, 0.01, 126.9, 0.0, 272.50, 0.00, 12.32, 11.70, 0.0, 160, 4.1, 160, 4.0, 75.800, 75.8, 75.8, 41.9098, 31.3136, 18.3948, 31.3170, 41.9098, 10.8752, 10.8752, 24.3, 10.8, 1488.4837, 185.1, 184.8, 179.7, 3.1783, 4.0, 4.1, 62
2012/04/20, 00:20:59, 10.30, 10.2, 10.3, 1017.70, 1017.3, 1017.7, 41.523952, -70.672266, , , 70.80, 0.00, 26.6, 0.0, 272.90, 0.00, 12.32, 11.70, 0.0, 159, 3.6, 170, 2.2, 75.800, 75.8, 75.4, 41.9184, 31.3138, 18.4040, 31.3172, 41.9184, 10.8748, 10.8748, 24.3, 10.8, 1488.4799, 195.1, 183.8, 180.5, 2.4760, 2.2, 3.6, 62
2012/04/20, 00:21:58, 10.20, 10.2, 10.2, 1017.70, 1017.3, 1017.7, 41.523952, -70.672266, , , 71.40, 0.00, 90.0, 0.0, 272.80, 0.00, 12.32, 11.70, 0.0, 153, 4.4, 173, 2.5, 75.900, 75.9, 75.7, 41.9270, 31.3136, 18.4137, 31.3170, 41.9270, 10.8742, 10.8742, 24.4, 10.8, 1488.4777, 198.3, 177.9, 186.5, 3.1345, 2.5, 4.4, 62
2012/04/20, 00:22:59, 10.20, 10.2, 10.2, 1017.70, 1017.3, 1017.7, 41.523952, -70.672266, , , 70.40, 0.02, 90.0, 0.0, 272.60, 0.00, 12.32, 11.70, 0.0, 170, 3.0, 149, 2.8, 75.800, 75.8, 75.7, 41.9357, 31.3136, 18.4232, 31.3170, 41.9357, 10.8739, 10.8739, 24.4, 10.7, 1488.4771, 174.2, 194.8, 184.7, 2.8151, 2.8, 3.0, 62
2012/04/20, 00:23:59, 10.20, 10.2, 10.2, 1017.70, 1017.4, 1017.7, 41.523952, -70.672266, , , 70.10, 0.01, 323.1, 0.0, 272.90, 0.00, 12.32, 11.70, 0.0, 171, 2.8, 161, 2.6, 76.500, 76.5, 76.3, 41.9447, 31.3139, 18.4327, 31.3173, 41.9447, 10.8740, 10.8740, 24.3, 10.6, 1488.4766, 185.9, 195.6, 182.0, 2.6319, 2.6, 2.8, 62
2012/04/20, 00:24:59, 10.20, 10.2, 10.2, 1017.70, 1017.4, 1017.7, 41.523952, -70.672266, , , 70.80, 0.01, 45.0, 0.0, 272.80, 0.00, 12.32, 11.70, 0.0, 172, 2.7, 205, 1.4, 77.100, 77.1, 76.8, 41.9532, 31.3140, 18.4419, 31.3174, 41.9532, 10.8729, 10.8729, 24.3, 10.6, 1488.4760, 230.0, 196.8, 180.1, 1.7267, 1.4, 2.7, 62
2012/04/20, 00:25:59, 10.30, 10.2, 10.3, 1017.70, 1017.4, 1017.7, 41.523952, -70.672266, , , 70.40, 0.01, 315.0, 0.0, 272.80, 0.00, 12.32, 11.70, 0.0, 142, 2.6, 149, 1.4, 77.200, 77.2, 77.0, 41.9617, 31.3139, 18.4513, 31.3173, 41.9617, 10.8720, 10.8720, 24.3, 10.7, 1488.4723, 173.9, 166.7, 179.4, 1.9858, 1.4, 2.6, 62
2012/04/20, 00:26:59, 10.30, 10.2, 10.3, 1017.70, 1017.4, 1017.7, 41.523952, -70.672266, , , 70.40, 0.02, 90.0, 0.0, 272.70, 0.00, 12.32, 11.70, 0.0, 158, 2.7, 158, 2.9, 77.000, 77.0, 76.9, 41.9702, 31.3142, 18.4603, 31.3175, 41.9702, 10.8718, 10.8718, 24.3, 10.6, 1488.4695, 183.1, 182.7, 174.1, 2.2674, 2.9, 2.7, 62
2012/04/20, 00:27:59, 10.20, 10.2, 10.2, 1017.70, 1017.4, 1017.7, 41.523952, -70.672266, , , 70.40, 0.03, 123.7, 0.0, 272.80, 0.00, 12.32, 11.70, 0.0, 156, 3.9, 148, 2.7, 76.600, 76.6, 76.4, 41.9791, 31.3145, 18.4696, 31.3179, 41.9791, 10.8710, 10.8710, 24.3, 10.8, 1488.4676, 173.1, 180.8, 175.4, 2.4095, 2.7, 3.9, 62
