R/V Knorr Calliope CSV data file  (Time stamps are GMT)
Date, Time_GMT, AT, WXTP_Ta, WXTS_Ta, BPR, WXTP_Pa, WXTS_Pa, Dec_Lat, Dec_Lon, Depth12, Depth35, FLR, SPD, COG, SOG, LWR, WXTS_Ri, WXTP_Rc, WXTS_Rc, WXTP_Ri, WXTS_Dm, WXTS_Sm, WXTP_Dm, WXTP_Sm, HRH, WXTP_Ua, WXTS_Ua, SBE45C, SBE45S, SBE45T, Salinity, SSCND, SSTMP, SBE48T, HDT, SWR, SSV, SPAR, WXTP_TD, WXTS_TD, Wnd_TD, Wnd_TS, WXTP_TS, WXTS_TS, HdChkSum=7E
2012/04/22, 00:00:44, 12.60, 12.5, 12.6, 1008.20, 1008.0, 1008.2, 41.221586, -70.893315, 31.94, 0.00, 109.50, 10.12, 203.6, 9.7, 381.30, 0.00, 12.45, 11.91, 0.0, 348, 9.4, 352, 9.3, 93.600, 93.6, 92.4, 35.8140, 32.0706, 10.6840, 32.0728, 35.8140, 10.4044, 10.4044, 201.6, 11.4, 1487.7259, -0.0020, 184.0, 175.6, 180.4, 4.2032, 4.5, 4.7, 7E
2012/04/22, 00:01:43, 12.60, 12.5, 12.6, 1008.20, 1007.9, 1008.2, 41.219128, -70.894818, 31.27, 0.00, 112.60, 10.47, 203.9, 10.0, 381.90, 0.00, 12.45, 11.91, 0.0, 349, 9.3, 353, 9.3, 93.600, 93.6, 92.3, 35.7719, 32.0640, 10.6437, 32.0663, 35.7719, 10.3919, 10.3919, 201.2, 11.5, 1487.6743, -0.0021, 184.3, 175.4, 179.4, 4.0623, 4.3, 4.5, 7E
2012/04/22, 00:02:43, 12.60, 12.5, 12.6, 1008.20, 1007.9, 1008.2, 41.216622, -70.896320, 31.48, 0.00, 115.20, 10.13, 205.0, 10.0, 382.00, 0.00, 12.45, 11.91, 0.0, 349, 9.3, 353, 9.3, 93.600, 93.6, 92.3, 35.7363, 32.0610, 10.6068, 32.0632, 35.7363, 10.3898, 10.3898, 201.7, 11.0, 1487.6508, -0.0021, 184.0, 175.0, 178.0, 4.0935, 4.3, 4.5, 7E
2012/04/22, 00:03:43, 12.60, 12.5, 12.6, 1008.20, 1008.0, 1008.2, 41.214126, -70.897869, 30.55, 0.00, 111.20, 10.12, 205.3, 10.1, 381.80, 0.00, 12.45, 11.91, 0.0, 349, 9.3, 353, 9.4, 93.500, 93.5, 92.3, 35.7523, 32.0657, 10.6196, 32.0679, 35.7523, 10.3936, 10.3936, 201.4, 11.5, 1487.6702, -0.0021, 183.0, 173.8, 177.4, 4.0227, 4.4, 4.4, 7E
2012/04/22, 00:04:43, 12.60, 12.5, 12.6, 1008.20, 1008.0, 1008.2, 41.211631, -70.899404, 31.10, 0.00, 110.10, 10.01, 209.6, 10.2, 381.90, 0.00, 12.45, 11.91, 0.0, 349, 9.5, 354, 9.5, 93.600, 93.6, 92.2, 35.7662, 32.0678, 10.6329, 32.0701, 35.7662, 10.3980, 10.3980, 203.5, 11.4, 1487.6855, -0.0020, 185.1, 174.5, 178.1, 4.1591, 4.5, 4.7, 7E
2012/04/22, 00:05:43, 12.60, 12.6, 12.6, 1008.30, 1008.0, 1008.3, 41.209144, -70.900930, 31.07, 0.00, 108.00, 9.99, 204.5, 9.8, 381.70, 0.00, 12.45, 11.91, 0.0, 351, 9.7, 356, 9.7, 93.500, 93.5, 92.2, 35.8248, 32.0716, 10.6950, 32.0739, 35.8248, 10.4016, 10.4016, 201.0, 11.5, 1487.7077, -0.0020, 190.6, 179.9, 180.5, 4.3343, 4.7, 4.9, 7E
2012/04/22, 00:06:43, 12.60, 12.6, 12.6, 1008.20, 1008.1, 1008.2, 41.206652, -70.902453, 30.43, 0.00, 110.10, 10.07, 205.6, 10.2, 381.60, 0.00, 12.45, 11.91, 0.0, 353, 9.9, 357, 9.9, 93.500, 93.5, 92.2, 35.8021, 32.0704, 10.6707, 32.0726, 35.8021, 10.4087, 10.4087, 202.6, 11.3, 1487.7284, -0.0020, 194.6, 185.7, 186.1, 4.0416, 4.7, 4.8, 7E
2012/04/22, 00:07:44, 12.60, 12.5, 12.6, 1008.30, 1008.1, 1008.3, 41.204169, -70.903976, 31.58, 0.00, 109.20, 10.02, 202.9, 9.9, 381.30, 0.00, 12.45, 11.91, 0.0, 353, 9.6, 357, 9.7, 93.400, 93.4, 92.1, 35.7980, 32.0704, 10.6660, 32.0727, 35.7980, 10.4133, 10.4133, 201.2, 11.4, 1487.7512, -0.0021, 194.6, 185.5, 188.7, 4.1584, 4.6, 4.6, 7E
2012/04/22, 00:08:43, 12.60, 12.5, 12.6, 1008.30, 1008.1, 1008.3, 41.201673, -70.905478, 29.77, 0.00, 109.20, 9.86, 204.7, 9.6, 380.20, 0.00, 12.45, 11.91, 0.0, 353, 9.5, 358, 9.6, 93.300, 93.3, 91.9, 35.8257, 32.0726, 10.6950, 32.0748, 35.8257, 10.4120, 10.4120, 201.8, 11.4, 1487.7439, -0.0021, 196.2, 185.3, 189.2, 4.2863, 4.7, 4.7, 7E
2012/04/22, 00:09:44, 12.50, 12.5, 12.5, 1008.30, 1008.1, 1008.3, 41.199167, -70.906994, 29.38, 0.00, 107.40, 10.06, 205.0, 10.3, 380.40, 0.00, 12.45, 11.91, 0.0, 352, 9.5, 356, 9.5, 93.300, 93.2, 91.8, 35.8399, 32.0751, 10.7083, 32.0772, 35.8399, 10.4284, 10.4284, 201.9, 11.5, 1487.7928, -0.0021, 190.9, 181.5, 188.2, 3.8801, 4.3, 4.4, 7E
