R/V Knorr Calliope CSV data file  (Time stamps are GMT)
Date, Time_GMT, AT, WXTP_Ta, WXTS_Ta, BPR, WXTP_Pa, WXTS_Pa, Dec_Lat, Dec_Lon, Depth12, Depth35, FLR, SPD, COG, SOG, WXTS_Ri, WXTP_Rc, WXTS_Rc, WXTP_Ri, WXTS_Dm, WXTS_Sm, WXTP_Dm, WXTP_Sm, HRH, WXTP_Ua, WXTS_Ua, SBE45C, SBE45S, SBE45T, Salinity, SSCND, SSTMP, SBE48T, HDT, SSV, SPAR, WXTP_TD, WXTS_TD, Wnd_TD, Wnd_TS, WXTP_TS, WXTS_TS, HdChkSum=61
2012/06/24, 00:00:22, 12.50, 12.4, 12.5, 1016.80, 1016.5, 1016.8, 53.486034, -30.772987, 3031.00, 0.00, 296.40, -0.11, 244.7, 1.0, 0.00, 60.40, 60.31, 0.0, 9, 7.0, 16, 6.8, 76.600, 76.6, 77.0, 39.8605, 33.8227, 13.1405, 33.8256, 39.8605, 12.8547, 12.8547, 43.9, 1498.3053, -0.0020, 61.0, 54.1, 66.6, 7.1040, 7.3, 7.5, 61
2012/06/24, 00:01:22, 12.50, 12.5, 12.5, 1016.90, 1016.5, 1016.9, 53.485991, -30.773093, 3032.00, 0.00, 296.40, -0.20, 307.9, 0.3, 0.00, 60.40, 60.31, 0.0, 6, 6.9, 11, 6.4, 77.400, 77.4, 77.7, 39.8613, 33.8247, 13.1391, 33.8276, 39.8613, 12.8538, 12.8538, 44.1, 1498.3047, -0.0020, 57.1, 51.7, 58.3, 6.1344, 6.4, 6.9, 61
2012/06/24, 00:02:22, 12.50, 12.5, 12.5, 1016.90, 1016.5, 1016.9, 53.485941, -30.773131, 3032.00, 0.00, 296.80, -0.05, 208.7, 0.6, 0.00, 60.40, 60.31, 0.0, 8, 7.1, 11, 7.4, 77.000, 77.0, 77.2, 39.8576, 33.8234, 13.1368, 33.8261, 39.8576, 12.8526, 12.8526, 43.8, 1498.2989, -0.0020, 54.5, 51.2, 52.6, 6.3369, 7.7, 7.4, 61
2012/06/24, 00:03:22, 12.50, 12.4, 12.5, 1016.70, 1016.6, 1016.7, 53.485900, -30.773167, 3031.00, 0.00, 296.80, 0.04, 164.2, 0.4, 0.00, 60.40, 60.31, 0.0, 3, 7.4, 10, 7.4, 77.600, 77.6, 77.7, 39.8568, 33.8258, 13.1332, 33.8286, 39.8568, 12.8512, 12.8512, 45.2, 1498.2972, -0.0020, 54.6, 47.3, 55.1, 6.4554, 7.5, 7.5, 61
2012/06/24, 00:04:22, 12.50, 12.4, 12.5, 1016.80, 1016.6, 1016.8, 53.485871, -30.773162, 3032.00, 0.00, 298.50, 0.13, 166.7, 0.4, 0.00, 60.40, 60.31, 0.0, 4, 7.4, 8, 7.7, 77.500, 77.5, 77.5, 39.8485, 33.8218, 13.1288, 33.8247, 39.8485, 12.8501, 12.8501, 46.1, 1498.2889, -0.0020, 53.4, 49.1, 52.7, 6.5714, 7.8, 7.5, 61
2012/06/24, 00:05:22, 12.40, 12.4, 12.4, 1016.60, 1016.6, 1016.6, 53.485859, -30.773132, 3034.00, 0.00, 297.10, 0.21, 214.1, 0.5, 0.00, 60.40, 60.31, 0.0, 6, 7.3, 9, 7.8, 77.500, 77.5, 77.3, 39.8463, 33.8215, 13.1268, 33.8244, 39.8463, 12.8488, 12.8488, 46.4, 1498.2842, -0.0020, 55.5, 52.2, 51.9, 7.0497, 8.0, 7.5, 61
2012/06/24, 00:06:22, 12.40, 12.4, 12.4, 1016.80, 1016.6, 1016.8, 53.485820, -30.773116, 3034.00, 0.00, 296.10, 0.00, 211.3, 0.5, 0.00, 60.40, 60.31, 0.0, 0, 7.2, 4, 7.5, 77.400, 77.4, 77.1, 39.8461, 33.8223, 13.1257, 33.8251, 39.8461, 12.8481, 12.8481, 49.7, 1498.2826, -0.0020, 53.7, 49.4, 55.5, 7.1491, 7.8, 7.5, 61
2012/06/24, 00:07:22, 12.40, 12.4, 12.4, 1016.70, 1016.5, 1016.7, 53.485725, -30.773175, 3033.00, 0.00, 297.70, -0.37, 304.3, 0.8, 0.00, 60.40, 60.31, 0.0, 1, 6.7, 6, 6.8, 77.900, 77.9, 78.2, 39.8451, 33.8223, 13.1246, 33.8252, 39.8451, 12.8475, 12.8475, 49.5, 1498.2807, -0.0020, 59.6, 54.4, 58.7, 6.7714, 7.0, 6.8, 61
2012/06/24, 00:08:22, 12.40, 12.4, 12.4, 1016.70, 1016.5, 1016.7, 53.485593, -30.773252, 3035.00, 0.00, 297.70, -0.38, 200.7, 1.1, 0.00, 60.40, 60.31, 0.0, 6, 6.5, 11, 7.0, 77.700, 77.7, 77.1, 39.8434, 33.8234, 13.1216, 33.8262, 39.8434, 12.8468, 12.8468, 48.6, 1498.2796, -0.0020, 57.5, 52.3, 52.2, 6.6261, 7.5, 7.0, 61
2012/06/24, 00:09:22, 12.40, 12.4, 12.4, 1016.70, 1016.5, 1016.7, 53.485459, -30.773349, 3036.00, 0.00, 298.50, -0.40, 234.4, 0.8, 0.00, 60.40, 60.31, 0.0, 6, 7.3, 8, 7.3, 77.900, 77.9, 77.9, 39.8430, 33.8221, 13.1226, 33.8250, 39.8430, 12.8477, 12.8477, 49.1, 1498.2812, -0.0020, 57.7, 55.5, 57.2, 6.7621, 7.7, 7.7, 61
