"Dark chamber: optode #1, serial no. 293"																							
"Light chamber: optode #2, serial no. 294"																							
																							
																							
Day (6/23/2012 + )	Hour	Min	Time	Timestamp				DO_1 (µM) (dark)		DO_1 (% sat)		"DO_1 (Temp, deg C)"		DO_2 (µM) (light)		DO_2 (% sat)		"DO_2 (Temp, deg C)"					
0	13	49	108	74	269139	94303	19685	256271	89473	19506													
0	13	50	108	74	268963	94257	19693	256108	89436	19517													
0	13	52	108	74	268894	94247	19701	258694	90136	19405													
0	13	54	108	74	268911	94258	19704	260179	90551	19349													
0	13	56	108	74	269181	94356	19705	260340	90625	19359													
0	13	58	108	74	269521	94445	19689	259962	90503	19364													
0	14	0	108	74	269954	94477	19626	259344	90369	19409													
0	14	2	108	74	275831	95746	19219	258523	90177	19461													
0	14	4	108	74	276708	95848	19114	258149	90118	19500													
0	14	6	108	74	274927	95225	19111	258003	90116	19527													
0	14	8	108	74	277992	95414	18662	459837	160765	19574													
0	14	10	108	74	281127	95731	18275	262633	91344	19316													
0	14	12	108	74	282958	95679	17933	262663	90664	18941													
0	14	14	108	74	286356	96168	17602	265323	91087	18674													
0	14	16	108	74	286329	95922	17482	265986	90935	18469													
0	14	18	108	74	286462	95851	17425	265637	90518	18309													
0	14	20	108	74	286827	95911	17393	268462	91043	18075													
0	14	22	108	74	286750	95843	17372	268679	90955	17989													
0	14	24	108	74	287018	95791	17301	267850	90607	17953													
0	14	26	108	74	287825	95914	17228	268909	90742	17833													
0	14	28	108	74	286960	95704	17268	270315	90886	17657													
0	14	30	108	74	288046	95854	17161	272380	90944	17321													
0	14	32	108	74	288581	95962	17126	272636	90747	17173													
0	14	34	108	74	289195	95917	17002	273236	90631	17006													
0	14	36	108	74	289094	95785	16953	272311	90398	17045													
0	14	38	108	74	289137	95782	16944	272240	90220	16963													
0	14	40	108	74	289563	95802	16884	274306	90521	16762													
0	14	42	108	74	289909	95728	16790	274333	90578	16787													
0	14	44	108	74	289759	95714	16808	273407	90458	16885													
0	14	46	108	74	290801	95809	16684	272850	90395	16949													
0	14	48	108	74	290731	95632	16608	272019	90305	17047													
0	14	50	108	74	291290	95658	16530	273929	90585	16861													
0	14	52	108	74	291386	95656	16513	274527	90225	16567													
0	14	54	108	74	292371	95812	16430	275211	90290	16483													
