Date, Time_GMT, Unixtime, Lat, NS, Lon, EW, Gyro, AzRel, AzTrue, El, Cr, DacAgc, Thresh, PolAng, DacMHz, DacKHz, NID, Aux, DacStatus, RemLocal, EbNo, MdmAgc, MdmMGC
2012/07/08, 00:00:04, 1341705604.13, 61.5, N,  33.7, W, 194.9,   7.3, 202.5, 19.7, 89.9, 1835, 1094,  73,  69, 697,    0, 1692, KH@@, HG,  6.2, 57.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/08, 00:01:03, 1341705663.90, 61.5, N,  33.7, W, 194.4,   8.1, 202.6, 19.7, 90.0, 1877, 1094,  73,  69, 697,    0, 1694, KH@@, HG,  7.2, 53.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/08, 00:02:03, 1341705723.65, 61.5, N,  33.7, W, 195.6,   6.9, 202.5, 19.7, 89.9, 1791, 1094,  73,  69, 697,    0, 1691, KH@@, HG,  5.1, 58.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/08, 00:03:04, 1341705784.37, 61.5, N,  33.7, W, 195.1,   7.3, 202.5, 19.7, 90.0, 1812, 1094,  73,  69, 697,    0, 1692, KH@@, HG,  5.8, 57.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/08, 00:04:04, 1341705844.06, 61.5, N,  33.7, W, 195.1,   7.2, 202.5, 19.6, 90.0, 1816, 1094,  73,  69, 697,    0, 1693, KH@@, HG,  6.7, 58.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/08, 00:05:03, 1341705903.83, 61.5, N,  33.7, W, 195.4,   7.0, 202.4, 19.7, 89.9, 1796, 1094,  73,  69, 697,    0, 1691, KH@@, HG,  6.0, 58.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/08, 00:06:03, 1341705963.56, 61.5, N,  33.7, W, 194.8,   7.7, 202.4, 19.9, 89.9, 1870, 1094,  73,  69, 697,    0, 1692, KH@@, HG,  6.2, 54.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/08, 00:07:04, 1341706024.25, 61.5, N,  33.7, W, 194.9,   7.8, 202.6, 19.8, 90.0, 1842, 1094,  73,  69, 697,    0, 1692, KH@@, HG,  6.7, 55.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/08, 00:08:03, 1341706083.98, 61.5, N,  33.7, W, 194.8,   7.8, 202.5, 19.6, 90.0, 1870, 1094,  73,  69, 697,    0, 1694, KH@@, HG,  7.0, 54.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/08, 00:09:03, 1341706143.72, 61.5, N,  33.7, W, 195.4,   7.3, 202.6, 19.8, 90.0, 1806, 1094,  73,  69, 697,    0, 1691, KH@@, HG,  5.2, 58.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/08, 00:10:03, 1341706203.54, 61.5, N,  33.7, W, 194.9,   7.5, 202.5, 19.7, 90.0, 1851, 1094,  73,  69, 697,    0, 1691, KH@@, HG,  6.4, 56.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/08, 00:11:04, 1341706264.31, 61.5, N,  33.7, W, 194.9,   7.5, 202.6, 19.8, 89.9, 1847, 1094,  73,  69, 697,    0, 1691, KH@@, HG,  6.7, 56.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/08, 00:12:04, 1341706324.03, 61.5, N,  33.7, W, 195.6,   7.2, 202.6, 19.6, 90.0, 1796, 1094,  73,  69, 697,    0, 1692, KH@@, HG,  4.9, 58.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/08, 00:13:03, 1341706383.72, 61.5, N,  33.7, W, 194.8,   7.6, 202.5, 19.7, 90.0, 1845, 1094,  73,  69, 697,    0, 1691, KH@@, HG,  6.5, 55.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/08, 00:14:03, 1341706443.51, 61.5, N,  33.7, W, 195.1,   7.3, 202.6, 19.8, 89.9, 1812, 1094,  73,  69, 697,    0, 1693, KH@@, HG,  5.5, 58.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/08, 00:15:04, 1341706504.36, 61.5, N,  33.7, W, 194.4,   8.0, 202.5, 20.0, 89.9, 1889, 1094,  73,  69, 697,    0, 1691, KH@@, HG,  6.5, 54.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/08, 00:16:04, 1341706564.13, 61.5, N,  33.7, W, 194.8,   7.9, 202.6, 19.6, 90.0, 1859, 1094,  73,  69, 697,    0, 1693, KH@@, HG,  6.5, 55.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/08, 00:17:03, 1341706623.90, 61.5, N,  33.7, W, 194.9,   7.4, 202.6, 19.8, 90.0, 1818, 1094,  73,  69, 697,    0, 1691, KH@@, HG,  5.9, 57.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/08, 00:18:03, 1341706683.63, 61.5, N,  33.7, W, 194.9,   7.4, 202.4, 19.8, 90.0, 1843, 1094,  73,  69, 697,    0, 1692, KH@@, HG,  5.8, 56.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/08, 00:19:04, 1341706744.36, 61.5, N,  33.7, W, 194.2,   8.2, 202.5, 19.6, 89.9, 1874, 1094,  73,  69, 697,    0, 1693, KH@@, HG,  7.3, 54.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/08, 00:20:04, 1341706804.11, 61.5, N,  33.7, W, 194.9,   7.3, 202.4, 19.8, 90.0, 1835, 1094,  73,  69, 697,    0, 1693, KH@@, HG,  6.1, 56.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/08, 00:21:03, 1341706863.87, 61.5, N,  33.7, W, 194.6,   7.8, 202.4, 19.8, 89.9, 1884, 1094,  73,  69, 697,    0, 1691, KH@@, HG,  7.1, 53.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/08, 00:22:03, 1341706923.65, 61.5, N,  33.7, W, 195.1,   7.4, 202.5, 19.7, 89.9, 1853, 1094,  73,  69, 697,    0, 1692, KH@@, HG,  6.5, 56.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
2012/07/08, 00:23:04, 1341706984.33, 61.5, N,  33.7, W, 194.9,   7.3, 202.4, 19.7, 89.9, 1855, 1094,  73,  69, 697,    0, 1691, KH@@, HG,  6.7, 56.0,  069.05000096.0005320116.013069.69750512.0005320130000.11100510010000000003.010
